date;wage;fastfood
15.01.2015;17638;391
15.02.2015;23301;365
15.03.2015;23823;359
15.04.2015;27088;349
15.05.2015;25175;365
15.06.2015;29039;357
15.07.2015;28945;363
15.08.2015;26119;373
15.09.2015;25592;349
15.10.2015;26823;353
15.11.2015;26808;355
15.12.2015;42139;356
15.01.2016;20345;384
15.02.2016;27850;355
15.03.2016;27614;350
15.04.2016;30735;343
15.05.2016;28761;350
15.06.2016;32971;351
15.07.2016;30176;364
15.08.2016;28718;366
15.09.2016;28096;350
15.10.2016;28025;353
15.11.2016;29325;351
15.12.2016;45884;361
15.01.2017;22087;375
15.02.2017;30084;358
15.03.2017;29819;345
15.04.2017;31375;344
15.05.2017;31255;346
15.06.2017;35246;349
15.07.2017;31989;360
15.08.2017;30627;352
15.09.2017;29872;335
15.10.2017;30500;328
15.11.2017;31806;329
15.12.2017;49789;340
15.01.2018;24286;349
15.02.2018;33641;331
15.03.2018;33321;331
15.04.2018;35417;317
15.05.2018;32869;321
15.06.2018;39554;333
15.07.2018;36307;334
15.08.2018;35374;333
15.09.2018;32886;319
15.10.2018;35196;307
15.11.2018;36104;313
