Data;Td;K0;Tmes;Tpr;KN1;EK1;KN2;EK2;Tspr
01.01.2015;-24.78;229.3548387;-13;130;170.9677419;170.9677419;58.38709677;58.38709677;106.5483871
02.01.2015;-26.2125;229.3548387;-13;130;170.9677419;341.9354839;58.38709677;116.7741935;106.5483871
03.01.2015;-18.725;229.3548387;-13;121;170.9677419;512.9032258;58.38709677;175.1612903;106.5483871
04.01.2015;-3.7;229.3548387;-13;90;170.9677419;683.8709677;58.38709677;233.5483871;106.5483871
05.01.2015;-1.325;229.3548387;-13;87;170.9677419;854.8387097;58.38709677;291.9354839;106.5483871
06.01.2015;-2.2375;229.3548387;-13;90;170.9677419;1025.806452;58.38709677;350.3225806;106.5483871
07.01.2015;-18.025;229.3548387;-13;121;170.9677419;1196.774194;58.38709677;408.7096774;106.5483871
08.01.2015;-31.55;229.3548387;-13;135;170.9677419;1367.741935;58.38709677;467.0967742;106.5483871
09.01.2015;-26.325;229.3548387;-13;130;170.9677419;1538.709677;58.38709677;525.483871;106.5483871
10.01.2015;-26.025;229.3548387;-13;130;170.9677419;1709.677419;58.38709677;583.8709677;106.5483871
11.01.2015;-10.525;229.3548387;-13;98;170.9677419;1880.645161;58.38709677;642.2580645;106.5483871
12.01.2015;-7.9375;229.3548387;-13;95;170.9677419;2051.612903;58.38709677;700.6451613;106.5483871
13.01.2015;-3.8875;229.3548387;-13;90;170.9677419;2222.580645;58.38709677;759.0322581;106.5483871
14.01.2015;-2.525;229.3548387;-13;90;170.9677419;2393.548387;58.38709677;817.4193548;106.5483871
15.01.2015;-2.4625;229.3548387;-13;90;170.9677419;2564.516129;58.38709677;875.8064516;106.5483871
16.01.2015;-0.35;229.3548387;-13;85;170.9677419;2735.483871;58.38709677;934.1935484;106.5483871
17.01.2015;-2.95;229.3548387;-13;90;170.9677419;2906.451613;58.38709677;992.5806452;106.5483871
18.01.2015;-3.9;229.3548387;-13;92;170.9677419;3077.419355;58.38709677;1050.967742;106.5483871
19.01.2015;-3.5375;229.3548387;-13;92;170.9677419;3248.387097;58.38709677;1109.354839;106.5483871
20.01.2015;-11.9375;229.3548387;-13;98;170.9677419;3419.354839;58.38709677;1167.741935;106.5483871
21.01.2015;-12.8625;229.3548387;-13;103;170.9677419;3590.322581;58.38709677;1226.129032;106.5483871
22.01.2015;-14.375;229.3548387;-13;108;170.9677419;3761.290323;58.38709677;1284.516129;106.5483871
23.01.2015;-26;229.3548387;-13;130;170.9677419;3932.258065;58.38709677;1342.903226;106.5483871
24.01.2015;-26.775;229.3548387;-13;130;170.9677419;4103.225806;58.38709677;1401.290323;106.5483871
25.01.2015;-15.6;229.3548387;-13;115;170.9677419;4274.193548;58.38709677;1459.677419;106.5483871
26.01.2015;-11.9125;229.3548387;-13;103;170.9677419;4445.16129;58.38709677;1518.064516;106.5483871
27.01.2015;-13.475;229.3548387;-13;108;170.9677419;4616.129032;58.38709677;1576.451613;106.5483871
28.01.2015;-13.4;229.3548387;-13;108;170.9677419;4787.096774;58.38709677;1634.83871;106.5483871
29.01.2015;-11.65;229.3548387;-13;103;170.9677419;4958.064516;58.38709677;1693.225806;106.5483871
30.01.2015;-12.85;229.3548387;-13;103;170.9677419;5129.032258;58.38709677;1751.612903;106.5483871
31.01.2015;-14.1375;229.3548387;-13;108;170.9677419;5300;58.38709677;1810;96.64516129
01.02.2015;-10.95;192.8571429;-6.9;98;192.8571429;192.8571429;0;0;96.64516129
02.02.2015;-6.975;192.8571429;-6.9;95;192.8571429;385.7142857;0;0;96.64516129
03.02.2015;-3.0375;192.8571429;-6.9;90;192.8571429;578.5714286;0;0;96.64516129
04.02.2015;-3.425;192.8571429;-6.9;90;192.8571429;771.4285714;0;0;96.64516129
05.02.2015;-3.275;192.8571429;-6.9;90;192.8571429;964.2857143;0;0;96.64516129
06.02.2015;-5.3625;192.8571429;-6.9;92;192.8571429;1157.142857;0;0;96.64516129
07.02.2015;-15.8625;192.8571429;-6.9;115;192.8571429;1350;0;0;96.64516129
08.02.2015;-21.15;192.8571429;-6.9;130;192.8571429;1542.857143;0;0;96.64516129
09.02.2015;-14.725;192.8571429;-6.9;115;192.8571429;1735.714286;0;0;96.64516129
10.02.2015;-6.4;192.8571429;-6.9;95;192.8571429;1928.571429;0;0;96.64516129
11.02.2015;-7.1;192.8571429;-6.9;95;192.8571429;2121.428571;0;0;96.64516129
12.02.2015;-3.2125;192.8571429;-6.9;90;192.8571429;2314.285714;0;0;96.64516129
13.02.2015;-0.625;192.8571429;-6.9;85;192.8571429;2507.142857;0;0;96.64516129
14.02.2015;-4.275;192.8571429;-6.9;90;192.8571429;2700;0;0;96.64516129
15.02.2015;-6.425;192.8571429;-6.9;95;192.8571429;2892.857143;0;0;96.64516129
16.02.2015;-10.375;192.8571429;-6.9;98;192.8571429;3085.714286;0;0;96.64516129
17.02.2015;-18.175;192.8571429;-6.9;121;192.8571429;3278.571429;0;0;96.64516129
18.02.2015;-14.5;192.8571429;-6.9;108;192.8571429;3471.428571;0;0;96.64516129
19.02.2015;-14.825;192.8571429;-6.9;115;192.8571429;3664.285714;0;0;96.64516129
20.02.2015;-15.5875;192.8571429;-6.9;115;192.8571429;3857.142857;0;0;96.64516129
21.02.2015;-7.025;192.8571429;-6.9;95;192.8571429;4050;0;0;96.64516129
22.02.2015;-0.025;192.8571429;-6.9;85;192.8571429;4242.857143;0;0;96.64516129
23.02.2015;-0.125;192.8571429;-6.9;85;192.8571429;4435.714286;0;0;96.64516129
24.02.2015;-0.025;192.8571429;-6.9;85;192.8571429;4628.571429;0;0;96.64516129
25.02.2015;-1.0625;192.8571429;-6.9;87;192.8571429;4821.428571;0;0;96.64516129
26.02.2015;0.375;192.8571429;-6.9;85;192.8571429;5014.285714;0;0;96.64516129
27.02.2015;-0.1125;192.8571429;-6.9;85;192.8571429;5207.142857;0;0;96.64516129
28.02.2015;-3.7375;192.8571429;-6.9;92;192.8571429;5400;0;0;96.64516129
01.03.2015;-6.2125;268.7096774;-1.7;95;211.9354839;211.9354839;56.77419355;56.77419355;88.35483871
02.03.2015;-4.1125;268.7096774;-1.7;90;211.9354839;423.8709677;56.77419355;113.5483871;88.35483871
03.03.2015;-4.7625;268.7096774;-1.7;90;211.9354839;635.8064516;56.77419355;170.3225806;88.35483871
04.03.2015;-6.125;268.7096774;-1.7;95;211.9354839;847.7419355;56.77419355;227.0967742;88.35483871
05.03.2015;-1.425;268.7096774;-1.7;87;211.9354839;1059.677419;56.77419355;283.8709677;88.35483871
06.03.2015;-1.925;268.7096774;-1.7;90;211.9354839;1271.612903;56.77419355;340.6451613;88.35483871
07.03.2015;-4.7;268.7096774;-1.7;92;211.9354839;1483.548387;56.77419355;397.4193548;88.35483871
08.03.2015;-7.7875;268.7096774;-1.7;95;211.9354839;1695.483871;56.77419355;454.1935484;88.35483871
09.03.2015;-5.75;268.7096774;-1.7;92;211.9354839;1907.419355;56.77419355;510.9677419;88.35483871
10.03.2015;-0.425;268.7096774;-1.7;85;211.9354839;2119.354839;56.77419355;567.7419355;88.35483871
11.03.2015;1.875;268.7096774;-1.7;83;211.9354839;2331.290323;56.77419355;624.516129;88.35483871
12.03.2015;2.45;268.7096774;-1.7;83;211.9354839;2543.225806;56.77419355;681.2903226;88.35483871
13.03.2015;0.925;268.7096774;-1.7;85;211.9354839;2755.16129;56.77419355;738.0645161;88.35483871
14.03.2015;1.4375;268.7096774;-1.7;83;211.9354839;2967.096774;56.77419355;794.8387097;88.35483871
15.03.2015;2.075;268.7096774;-1.7;83;211.9354839;3179.032258;56.77419355;851.6129032;88.35483871
16.03.2015;-2.625;268.7096774;-1.7;90;211.9354839;3390.967742;56.77419355;908.3870968;88.35483871
17.03.2015;-2.625;268.7096774;-1.7;90;211.9354839;3602.903226;56.77419355;965.1612903;88.35483871
18.03.2015;3.075;268.7096774;-1.7;83;211.9354839;3814.83871;56.77419355;1021.935484;88.35483871
19.03.2015;2.825;268.7096774;-1.7;83;211.9354839;4026.774194;56.77419355;1078.709677;88.35483871
20.03.2015;3.7875;268.7096774;-1.7;82;211.9354839;4238.709677;56.77419355;1135.483871;88.35483871
